Neuron,name,skid,cell_type
17019246," ""connect to JO-DA_4 17019246 HC""",17019245,JON
17091476," ""putative JO-E 17091476 HC""",17091475,JON
17403825," ""putative JO-E 17403825 HC""",17403824,JON
17421326," ""putative JO-E 17421326 HC""",17421325,JON
17430959," ""likely JO-E 17430959 HC""",17430958,JON
17452792," ""putative JO-E HC""",17452791,JON
1600564," ""JO-FVA_1""",1600563,JON
1600574," ""JO-FVA_2""",1600573,JON
1600579," ""JO-FVA_7""",1600578,JON
1600584," ""JO-FVA_3""",1600583,JON
1600590," ""JO-FVA_4""",1600589,JON
1600635," ""JO-FDA_3""",1600634,JON
1600650," ""JO-FDA_1""",1600649,JON
1600729," ""JO-FDA_4""",1600728,JON
1669667," ""JO-FVA_6""",1669666,JON
1669784," ""JO-FDA_6""",1669783,JON
3505589," ""JO-FDA_10""",3505588,JON
3692142," ""JO-FDA_9""",3692141,JON
5612039," ""JO-FDA_2""",5612038,JON
5619163," ""JO-FDA_5""",5619162,JON
5619175," ""JO-FDA_15""",5619174,JON
5619195," ""JO-FVA_5""",5619194,JON
5619278," ""JO-FVA_30""",5619277,JON
6578412," ""JO-FVA_8""",6578411,JON
6578912," ""JO-FVA_9""",6578911,JON
8646112," ""JO-FDA_14""",8646111,JON
8652383," ""JO-FVA_33""",8652382,JON
10018304," ""JO-FDA_13""",10018303,JON
10018344," ""JO-FVA_14""",10018343,JON
10071714," ""JO-FVA_13""",10071713,JON
10722612," ""JO-FVA_22""",10722611,JON
10722620," ""JO-FVA_18""",10722619,JON
10723195," ""JO-FVA_20""",10723194,JON
10725251," ""JO-FVA_12""",10725250,JON
10725271," ""JO-FVA_28""",10725270,JON
10727155," ""JO-FVA_27""",10727154,JON
10727450," ""JO-FDA_16""",10727449,JON
10735079," ""JO-FVA_15""",10735078,JON
10740368," ""JO-FVA_23""",10740367,JON
10766940," ""JO-FDA_12""",10766939,JON
10771159," ""JO-FVA_26""",10771158,JON
10796505," ""JO-FDA_7""",10796504,JON
10796510," ""JO-FVA_10""",10796509,JON
10796518," ""JO-FVA_11""",10796517,JON
10821234," ""JO-FVA_31""",10821233,JON
10821522," ""JO-FVA_19""",10821521,JON
10821932," ""JO-FVA_29""",10821931,JON
10823318," ""JO-FVA_17""",10823317,JON
10823452," ""JO-FVA_21""",10823451,JON
10858416," ""JO-FDA_8""",10858415,JON
10873892," ""JO-FDP_3""",10873891,JON
10886932," ""JO-FDA_11""",10886931,JON
10896630," ""JO-FDP_2""",10896629,JON
10995503," ""JO-FDP_1""",10995502,JON
11008034," ""JO-FDP_5""",11008033,JON
11031648," ""JO-FVA_32""",11031647,JON
11090189," ""JO-FDP_4""",11090188,JON
11095360," ""JO-FDP_6""",11095359,JON
11206676," ""JO-FVL_3""",11206675,JON
11356454," ""JO-FVA_24""",11356453,JON
11364547," ""JO-FVL_1""",11364546,JON
11367725," ""JO-FDL_2""",11367724,JON
11369217," ""JO-FVA_25""",11369216,JON
11869920," ""JO-FVL_2""",11869919,JON
12123197," ""JO-FDL_1""",12123196,JON
12247590," ""JO-FVA_16""",12247589,JON
3115732," ""JO-DA_4""",3115731,JON
4211936," ""JO-DP_3""",4211935,JON
5936952," ""GF input neuron 5936952 SMA - unclassified type 44""",5936951,JON
6331357," ""GF input neuron 6331357 SMA - unclassified type 44""",6331356,JON
7083678," ""GF input neuron 7083678 SMA - unclassified type 44""",7083677,JON
7095412," ""GF input neuron 7095412 SMA - unclassified type 44""",7095411,JON
7625027," ""GF input neuron 7625027 SMA - unclassified type 44""",7625026,JON
10635278," ""JO-DP_5""",10635277,JON
13295070," ""JO-DP_4""",13295069,JON
,Giant Fiber,4947529,GF-R
,DNa02_AL,12526673,DNa02-R
